Manga_ID,Title,Score,Reach_Members,Loyalty_Favourites,Synopsis,Background,Comic Mag,Genres
70345,Grand Blue,9.04,198617,19002,"Among the seaside town of Izu's ocean waves and rays of shining sun, Iori Kitahara is just beginning his freshman year at Izu University. As he moves into his uncle's scuba diving shop, Grand Blue, he eagerly anticipates his dream college life, filled with beautiful girls and good friends.

But things don't exactly go according to plan. Upon entering the shop, he encounters a group of rowdy, naked upperclassmen, who immediately coerce him into participating in their alcoholic activities. Though unwilling at first, Iori quickly gives in and becomes the heart and soul of the party. Unfortunately, this earns him the scorn of his cousin, Chisa Kotegawa, who walks in at precisely the wrong time. Undeterred, Iori still vows to realize his ideal college life, but will things go according to plan this time, or will his situation take yet another dive?

[Written by MAL Rewrite]","Grand Blue was nominated for the 41st Kodansha Manga Awards in the General category in 2017. The series has been published digitally in English as Grand Blue Dreaming by Kodansha USA since September 12, 2017. It has also been simulpub. The manga has also been published in French by Meian since February 24, 2021.",good! Afternoon,Comedy
25,Fullmetal Alchemist,9.04,319118,31210,"Alchemists are knowledgeable and naturally talented individuals who can manipulate and modify matter due to their art. Yet despite the wide range of possibilities, alchemy is not as all-powerful as most would believe. Human transmutation is strictly forbidden, and whoever attempts it risks severe consequences. Even so, siblings Edward and Alphonse Elric decide to ignore this great taboo and bring their mother back to life. Unfortunately, not only do they fail in resurrecting her, they also pay an extremely high price for their arrogance: Edward loses his left leg and Alphonse his entire body. Furthermore, Edward also gives up his right arm in order to seal his brother's soul into a suit of armor.

Years later, the young alchemists travel across the country looking for the Philosopher's Stone, in the hopes of recovering their old bodies with its power. However, their quest for the fated stone also leads them to unravel far darker secrets than they could ever imagine.

[Written by MAL Rewrite]","Fullmetal Alchemist won the 49th Shogakukan Manga Award in the Shounen category in 2003, along with Yakitate!! Japan. Hiromu Arakawa also won the 15th Tezuka Osamu Cultural Prize in the New Artist Prize category for the series in 2011. In the same year, the manga won the Seiun Award in the Best Comic category. As of July 2021, over 80 million copies of the series have been sold worldwide. The series was published in English by VIZ Media from May 3, 2005, to December 20, 2011, and digitally by Yen Press on April 15, 2014. A 3-in-1 omnibus edition and complete box set, which included the novel Fullmetal Alchemist: Sorezore no Kizuna, were later released by VIZ Media. The manga was also published in Italian by Panini Comic from July 13, 2006, to September 3, 2011; in Polish by Japonica Polonica Fantastica from January 2006 to April 2012; in Brazilian Portuguese by Editora JBC in 54 volumes from February 2007 to April 2011; in Argentina by Editorial Ivrea from December 9, 2016, to March 21, 2019; and in Spain by Norma Editorial.",Shounen Gangan,"Action, Adventure, Award Winning, Drama, Fantasy"
16765,Kingdom,9.02,197024,16847,"During the Warring States period in China, Xin and Piao are two brother-like youngsters who dream of becoming Great Generals, despite their low status as orphaned slaves. One day, they encounter a man of nobility, who gives Piao an opportunity to undertake an important duty within the state of Qin's royal palace. Parting ways, Xin and Piao promise each other to one day become the greatest generals in the world. However, after a fierce coup d'état occurs in the palace, Xin meets with a dying Piao, whose last words spur him into action and lead him to encounter the young and soon-to-be king of Qin, Zheng Ying.

Although initially on bad terms, Xin and Zheng become comrades and start on a path filled with trials and bloodshed. Zheng's objective is to bring all the warring states under Qin, and Xin seeks to climb to the very top of the army ranks. Against a backdrop of constant tactical battle between states and great political unrest, both outside and within the palace, the two endeavor towards their monumental ambitions that will change history forever.

[Written by MAL Rewrite]","In 2013, Kingdom was awarded the 17th Annual Tezuka Osamu Cultural Grand Prize. As of December 2024, the series has sold over 110 million copies. On December 12, 2012, the series won a Guinness World Record for manga written by the most people. The record was made possible due to its Social Kingdom Campaign, where artists, fans, and voice actors redrew the entire 26th volume. Each participant picked and redrew one frame; the top 100 would be given a special edition of the manga. (One Piece), (Naruto), (JoJo no Kimyou na Bouken), and many others were among the participants. A live-action movie of Kingdom was released on April 19, 2019, a second one on July 15, 2022, a third one on July 28, 2023, and a fourth one on July 12, 2024. Kingdom has been published in English by VIZ Media under the VIZ Signature imprint since November 11, 2025.",Young Jump,"Action, Award Winning"
130826,Tian Guan Cifu,9.01,21445,1614,"Born the crown prince of a prosperous kingdom, Xie Lian was renowned for his beauty, strength, and purity. His years of dedication and noble deeds allowed him to ascend to godhood. But those who rise, can also fall...and fall he does, cast from the Heavens again and again and banished to the mortal realm.

Eight hundred years after his mortal life, Xie Lian has ascended to godhood for the third time. Now only a lowly scrap collector, he is dispatched to wander the earthly realm to take on tasks appointed by the heavens to pay back debts and maintain his divinity. Aided by old friends and foes alike, and graced with the company of a mysterious young man with whom he feels an instant connection, Xie Lian must confront the horrors of his past in order to dispel the curse of his present.

(Source: Seven Seas Entertainment)","Tian Guan Cifu was a web novel released on Jinjiang Wenxue Cheng from June 16, 2017, to February 25, 2018, and published in print in Taiwan by Pinsin Publishing from February 4, 2021, to March 31, 2022. The series has been published in English as Heaven Official's Blessing: Tian Guan Ci Fu by Seven Seas Entertainment under the Danmei imprint from December 14, 2021, to November 28, 2023, and in a new deluxe hardcover edition since December 3, 2024.",N/A,"Action, Adventure, Boys Love, Fantasy"
4632,Oyasumi Punpun,8.98,508403,57590,"Punpun Onodera is a normal 11-year-old boy living in Japan. Hopelessly idealistic and romantic, Punpun begins to see his life take a subtle—though nonetheless startling—turn to the adult when he meets the new girl in his class, Aiko Tanaka. It is then that the quiet boy learns just how fickle maintaining a relationship can be, and the surmounting difficulties of transitioning from a naive boyhood to a convoluted adulthood. When his father assaults his mother one night, Punpun realizes another thing: those whom he looked up to were not as impressive as he once thought.

As his problems increase, Punpun's once shy demeanor turns into voluntary reclusiveness. Rather than curing him of his problems and conflicting emotions, this merely intensifies them, sending him down the dark path of maturity in this grim coming-of-age saga.

[Written by MAL Rewrite]","Oyasumi Punpun was originally serialized in Young Sunday, but moved to Big Comic Spirits on October 20, 2008 (47th issue). It received a Jury Recommendation at the 13th Japan Media Arts Festival Awards in 2009. The series was published in English as Goodnight Punpun by VIZ Media under the VIZ Signature imprint in seven omnibus volumes from March 15, 2016, to September 19, 2017. It was also published in Italian by Panini Comics from April 14, 2011, to July 31, 2014; in French by Kana from February 3, 2012, to November 7, 2014; in Spanish by Norma Editorial from October 29, 2015, to October 29, 2016; in Brazilian Portuguese by Editora JBC from December 2018 to July 2019; and in Polish by Kotori from September 27, 2019, to October 29, 2021.",Big Comic Spirits,"Drama, Slice of Life"
44489,Houseki no Kuni,8.98,166956,18241,"Long ago, Earth was struck by six meteorites, creating six moons and leaving a lone island in their wake. Those who could not make it to the island sank to the bottom of the ocean, where, over time, they slowly turned to crystal. As countless millennia passed, 28 of these crystallized lifeforms, known as the Lustrous, rose from the depths and resided on the island. Led by the wise Kongou-sensei, they must defend themselves against the seemingly infinite number of Lunarians, inhabitants of the moons who seek to harvest their valuable bodies for crafting weapons and jewelry. 

Houseki no Kuni centers around Phosphophyllite, a young gem about to turn three hundred years old. Clumsy, extremely fragile, and having no visible talent, they are one of the weakest gems around, unable to help in the fight against the Lunarians in any meaningful way. But as the battle with the otherworldly invaders rages on, they soon learn that power comes at a cost that no one should have to pay.

[Written by MAL Rewrite]","Houseki no Kuni ranked 10th in the 2015 Kono Manga ga Sugoi! for the Male Readers division. The series was nominated for the eighth Manga Taisho Award in 2015 and placed 13th in the final ranking. The series was published in English as Land of the Lustrous by Kodansha USA from June 27, 2017, to November 4, 2025. It has also been released in Spanish by ECC Ediciones since September 17, 2019; in Brazilian Portuguese by NewPOP Editora since November 5, 2021; and in Polish by Studio JG since May 24, 2024.",Afternoon,"Action, Drama, Fantasy"
657,Real,8.96,108033,4493,"Tomomi Nomiya, former captain of his high school's basketball team turned delinquent, decides to drop out of school after he is crushed by the guilt of ruining a young girl's life in a traffic accident. As he dedicates his free time to helping her, he stumbles upon Kiyoharu Togawa, a former sprinter who has lost the use of his right leg and now plays wheelchair basketball as an alternate outlet.

After challenging Kiyoharu to a one-on-one game, Tomomi is completely defeated. Inspired by this encounter, he realizes that he can't let his love for basketball die so easily and decides that he will do what he can to help others while striving to become a professional player. Meanwhile, Hisanobu Takahashi, Tomomi's replacement as the high school's team captain, gets into an accident and finds himself permanently paralyzed below the waist. Real tells the touching tale of these three young men as they struggle to overcome their disabilities and inner conflicts in order to achieve their dreams while igniting a passion that will bring them together.

[Written by MAL Rewrite]","Real won an Excellence Prize for manga at the 5th Japan Media Arts Festival in 2001. The series has been published in English by VIZ Media under the VIZ Signature imprint since July 15, 2008.",Young Jump,"Award Winning, Drama, Sports"
1303,Ashita no Joe,8.94,64262,4714,"Joe Yabuki has learned how to toughen up and stop trusting others after a troubling youth spent bouncing between orphanages and fending off bullies. After finally escaping the cycle of violent temporary homes, Joe adopts a delinquent lifestyle in the streets of San'ya, a slum in Tokyo. He makes his way through the world with his fists, picking fights with anyone he pleases.

Danpei Tange, a washed-up and alcoholic former boxing coach, notices Joe's animalistic combat ability and attempts to mentor the wild teenager. Despite developing an explosive relationship, the two form a close bond and rely on each other to look after the other homeless children in San'ya.

Unable to abandon his destructive habits, Joe is arrested for petty crimes. In jail, he meets and fights with lifelong friends and rivals, including the boxing prodigy Tooru Rikiishi. Continuously challenging Rikiishi to fights, Joe is knocked out time after time due to his savage brawling style failing in the face of Rikiishi's controlled boxing technique. But eventually, Joe stuns his rival with a knockout blow, earning Rikiishi's respect and the promise that they will one day meet again inside the professional ring.

Finding a reason to live within boxing, Joe takes life head-on with a new purpose. As he rises through Japan's amateur and professional boxing scenes, he contends with painful loss and increasing injury. Joe's passion for fighting is all-consuming, and he grapples with the idea that a life without boxing may not be one worth living.

[Written by MAL Rewrite]","Ashita no Joe has sold over 20 million copies, was adapted to two anime series and films, as well as two live-action films in 1970 and 2011. Both the titular character and series have become an incredibly influential part of Japanese pop-culture. The series has been published in English as Ashita no Joe: Fighting for Tomorrow by Kodansha USA under the Vertical Comics imprint since December 24, 2024. It was published in French by Glénat Editions and in Italian by Star Comics.",Shounen Magazine (Weekly),"Drama, Slice of Life, Sports"
3,20th Century Boys,8.93,304313,22667,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better.

Kenji Endou is a normal convenience store manager who is just trying to get by. But when he learns that one of his old friends going by the name ""Donkey"" has suddenly committed suicide and that a new cult led by a figure known as ""Friend"" is becoming more notorious, Kenji starts to feel that something is not right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would be—not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop.

Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world.

[Written by MAL Rewrite]","20th Century Boys won the Kodansha Manga Award in the general category in 2001, an Excellence Prize at the Japan Media Arts Festival in 2002, and the Shogakukan Manga Award in the general category in 2003. The series' combined storyline won the Grand Prize at the 37th Japan Cartoonist Awards on May 9, 2008. VIZ Media published the series in English under the VIZ Signature imprint from February 17, 2009, to September 18, 2012. VIZ Media licensed the series in 2005; however, at Urasawa's request, it was rescheduled for release after Monster finished its English publication due to a change in art style over time. It was also published as 2-in-1 omnibus volumes from September 18, 2018, to March 16, 2021. The series has also been published in Brazilian Portuguese by Panini Comics/Planet Manga since September 2012. The series was adapted into a trilogy of live-action films which released in Japan between August 30, 2008, and August 29, 2009.",Big Comic Spirits,"Award Winning, Drama, Mystery, Sci-Fi"
34053,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,8.92,23658,1903,"It's time once again for the annual family gathering on Rokkenjima! Ange Ushiromiya is just getting over a cold, but that won't dampen her excitement at seeing her cousins again! Granddad couldn't be more thrilled to see his beloved grandchildren and throws a special Halloween party where everyone gets lots of treats! By lunchtime on the first day, the aunts and uncles are chatting up a storm, and the cousins are eagerly planning the afternoon's fun. It's the very picture of a happy family-one that in no way resembles the bickering, bitter Ushiromiya clan! What is going on?! 

(Source: Yen Press)","Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch was published in English as Umineko When They Cry Episode 8: Twilight of the Golden Witch by Yen Press as 3-in-1 omnibus volumes from April 30, 2019, to June 23, 2020.",Gangan Joker,"Drama, Fantasy, Mystery, Supernatural"
104,Yotsuba to!,8.91,176105,17817,"While most people find the world mundane, five-year-old Yotsuba Koiwai sees it as a treasure trove of amazing bustle and wonderful places to explore. When she and her adoptive father, Yousuke, move to a new city, the energetic young girl naturally sets out to investigate the neighborhood on her own.

After a few incidents at the local park, the Koiwais become acquainted with their neighbors, the Ayase family. Their three daughters—mischievous college student Asagi, responsible high school student Fuuka, and kindhearted grade school student Ena—eventually all take a liking to Yotsuba and join in on her antics, despite their sheer ridicule.

From learning how to use a swing to figuring out how to stop global warming with air conditioners, Yotsuba's ability to infallibly find fun in everything, both amazes and annoys the people around her. Along with Yousuke, the Ayases, and friends she makes along the way, Yotsuba embarks on daily adventures, each one a step in her quest to enjoy the simple things in life.

[Written by MAL Rewrite]","Yotsuba to! received the Excellence Award at the 10th Japan Media Arts Festival in 2006. In 2008, the series was nominated for the 12th Osamu Tezuka Culture Award and the Eisner Award in the Best Publication for Kids category. It was also a runner-up for the first annual Manga Taishou award. In 2016, the series was awarded the 20th Tezuka Osamu Cultural Prize Grand Prize, along with Hanagami Sharaku. The first six volumes were first published in English as Yotsuba&! by ADV Manga from June 6, 2005, to October 31, 2007, before publication was discontinued. Yen Press picked up the license and has published the series since September 15, 2009. It has also been published in Spanish by Norma Editorial since November 2005; in French by Kurokawa since August 17, 2006; in German by Tokyopop since February 20, 2007; and in Polish by Kotori since May 18, 2018.",Dengeki Daioh,"Award Winning, Comedy, Slice of Life"
14893,Monogatari Series: First Season,8.91,66430,3249,"This is a story, a ""ghostory"" of sorts, about scars that bond, monsters that haunt, and fakes that deceive.

The story of Koyomi Araragi begins through a fateful encounter with the all-powerful, blonde-haired, ""hot-blooded, iron-blooded, and cold-blooded"" vampire, later introduced as Shinobu Oshino. Their tragic rendezvous results in the end of Araragi's life as a human and his subsequent rebirth as a vampire—a monster. However, this encounter is only the start of his meddlings with the supernatural. Koyomi's noble personality ultimately sees him getting further involved in the lives of others with supernatural afflictions. This is his desperate attempt at returning to a normal human life, in a paranormal world filled with nothing but tragedy, suffering, and inhumanity.

[Written by MAL Rewrite]

This entry includes the first season of the Monogatari Series.","Monogatari Series: First Season was published in English by Vertical Inc: first with Kizumonogatari as Kizumonogatari: Wound Tale on December 15, 2015; Bakemonogatari as Bakemonogatari: Monster Tale in three volumes from December 20, 2016, to April 25, 2017; Nisemonogatari as Nisemonogatari: Fake Tale in two volumes from June 27, 2017, to August 29, 2017; and Nekomonogatari: Kuro as Nekomonogatari (Black): Cat Tale on November 28, 2017. Vertical also released the series in a box set. The light novels have also been published in Italian by Dokusho Edizioni beginning with Bakemonogatari since March 14, 2025.",Mephisto,"Action, Comedy, Mystery, Romance, Supernatural"
